,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
584,London School of Hygiene and Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
585,London School of Management Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
586,London School of Theology,45,40,3.68,88.8,0,0,1.1,5,8.7,10,3.68,7.7,53,England,2016-17,London,Moderate
587,Stratford College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
588,London Studio Centre,100,90,2.46,89.9,5,3,2.5,5,6,7.6,2.46,0.3,134.7,England,2016-17,London,Moderate
589,West London College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
590,The London Institute of Banking & Finance,25,25,4.42,88.4,0,0,3,0,4.2,8.6,4.42,0.2,117,England,2016-17,London,Low
591,Loughborough University,3275,3085,0.39,92.4,75,2.4,2.6,115,3.5,5,0.39,3.6,89.2,England,2016-17,Loughborough,Low
592,Luther King House Educational Trust,15,10,0,0,0,0,0,5,0,0,0,0,0,England,2016-17,Birmingham,Low
593,The Manchester Metropolitan University,7685,6815,0.3,88.2,240,3.1,3.2,635,8.2,8.6,0.3,3.4,103.3,England,2016-17,Manchester,Moderate
594,The University of Manchester,5785,5415,0.3,93.9,140,2.4,2.2,235,4,3.9,0.3,4.2,80.8,England,2016-17,Manchester,Low
595,Istituto Marangoni Limited,30,25,5.21,86.1,0,3.3,3.2,5,16.7,10.7,5.21,0.2,114.3,England,2016-17,London,High
596,The Markfield Institute of Higher Education,20,15,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Leicester,Low
597,Matrix College of Counselling and Psychotherapy Ltd,30,20,6.83,89.9,0,0,1.7,10,28.6,8.4,6.83,0.9,82.5,England,2016-17,London,High
598,Mattersey Hall,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,West Yorkshire,Low
599,St Mellitus College,75,75,2.48,86.6,0,0,1.9,0,2.6,11.6,2.48,11.1,43.4,England,2016-17,London,Low
600,The Metanoia Institute,35,35,4.45,91.1,0,0,1.5,5,8.3,7.4,4.45,0.4,96.9,England,2016-17,London,Moderate
601,Middlesex University,4800,3905,0.43,85.9,290,6,3.5,605,12.6,10.6,0.43,2.7,102.5,England,2016-17,London,High
602,Millennium Performing Arts Ltd,35,30,5.02,87.1,0,0,2.6,5,11.8,10.3,5.02,0.3,127.8,England,2016-17,London,High
603,The Minster Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
604,Mountview Academy of Theatre Arts,90,85,2.39,88.4,0,1.1,2.4,5,3.3,9.2,2.39,0.4,122.1,England,2016-17,London,Low
605,Mont Rose College of Management and Sciences,230,185,2.09,75.7,10,3.9,4.6,35,15.9,19.7,2.09,4.1,126,England,2016-17,London,High
606,Moorlands College,65,60,2.97,87.1,0,0,2.2,5,6.1,10.7,2.97,2.2,65.7,England,2016-17,Bedfordshire,Moderate
607,All Nations Christian College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Nottingham,Low
608,Nazarene Theological College,30,25,5.33,83.6,0,0,1.8,5,15.6,14.5,5.33,3,56.5,England,2016-17,Birmingham,High
609,Nelson College London Ltd,160,115,2.83,75.8,5,4.4,4.5,40,23.8,19.6,2.83,2.8,126,England,2016-17,London,High
610,Newcastle University,5085,4810,0.31,93.4,115,2.3,2.3,165,3.2,4.3,0.31,5.2,79.7,England,2016-17,Newcastle  ,Low
611,New College of the Humanities,35,30,3.83,92.5,5,9.1,2.1,0,3,5.4,3.83,0.7,73.8,England,2016-17,London,Low
612,Newman University,710,575,1.14,87.2,30,4.1,2.9,105,14.5,9.9,1.14,1.1,93.1,England,2016-17,Birmingham,High
613,St Nicholas Montessori Training Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Northampton,Low
614,Norland College,85,80,2.44,89.2,0,2.3,3.2,5,3.4,7.6,2.44,0.5,102.9,England,2016-17,Bath,Low
615,The University of Northampton,3020,2575,0.51,86.5,135,4.4,3.3,315,10.4,10.2,0.51,1.7,98.8,England,2016-17,Northampton,High
616,Northern College of Acupuncture,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Manchester,Low
617,University of Northumbria at Newcastle,5675,5075,0.36,88.1,120,2.1,3.1,480,8.4,8.8,0.36,2.6,104.5,England,2016-17,Newcastle  ,Moderate
618,Norwich University of the Arts,705,650,0.94,89.5,10,1.6,2.5,45,6.1,8,0.94,1.7,130.4,England,2016-17,Norwich,Moderate
619,University of Nottingham,6105,5735,0.29,93.8,140,2.3,2.2,230,3.8,4.1,0.29,4.3,79.5,England,2016-17,Nottingham,Low
620,The Nottingham Trent University,6840,6205,0.31,88.7,160,2.3,3,480,7,8.4,0.31,3.8,101.3,England,2016-17,Nottingham,Moderate
621,Oak Hill College,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Watford,Low
622,The Open University in England,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Milton Keynes,Low
623,ICOM,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
624,Oxford Brookes University,3425,3165,0.41,90,75,2.2,2.8,185,5.5,7.2,0.41,2.4,93,England,2016-17,Oxford,Moderate
625,Oxford Business College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Oxford,Low
626,The University of Oxford,2650,2600,0.39,96.3,15,0.5,1.6,35,1.4,2.1,0.39,9.8,56.1,England,2016-17,Oxford,Low
627,St Patrick's International College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Leeds,Low
628,Pearson College,240,215,1.74,84.9,5,2.1,3.8,20,8.7,11.3,1.74,0.5,104,England,2016-17,London,Moderate
629,Plymouth College of Art,470,385,1.44,87.5,10,2.3,2.3,75,15.5,10.2,1.44,2.2,122,England,2016-17,Plymouth,High
630,University of Plymouth,5005,4535,0.37,88.7,90,1.8,2.9,380,7.6,8.3,0.37,2.2,94.3,England,2016-17,Plymouth,Moderate
631,Point Blank Music School,50,40,4.07,85,0,0,2.2,5,12.5,12.8,4.07,1,98.5,England,2016-17,London,High
632,The University of Portsmouth,5360,4870,0.35,87.9,120,2.3,3.4,370,6.9,8.7,0.35,2.6,98.5,England,2016-17,Portsmouth,Moderate
633,Queen Mary University of London,3695,3160,0.42,92.1,255,7,2.6,275,7.4,5.3,0.42,2.9,84,England,2016-17,London,Moderate
634,Royal Academy of Dance,30,25,4.23,91,0,0,2,0,3.6,7,4.23,0.2,99.7,England,2016-17,London,Low
635,Ravensbourne University London,780,720,0.88,87.2,15,2.2,3,40,5.4,9.8,0.88,1.6,114.1,England,2016-17,London,Moderate
636,"Richmond, The American International University in London",115,85,2.89,85.5,10,6.9,3.5,20,19,11,2.89,0.4,99.8,England,2016-17,London,High
637,The University of Reading,3175,2985,0.41,92.3,65,2,2.5,125,3.9,5.2,0.41,3,92.3,England,2016-17,Reading,Low
638,Regent's University London,85,65,2.84,83.5,10,11.5,3.9,10,12.6,12.6,2.84,0.5,99.8,England,2016-17,London,High
639,Regents Theological College,30,25,4.33,85.6,0,0,2.3,0,3.6,12,4.33,1.5,68,England,2016-17,Cambridge,Low
640,Regent College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
641,Roehampton University,3690,2955,0.46,81.8,205,5.5,4,535,14.4,14.2,0.46,13.8,99.7,England,2016-17,London,High
642,Rose Bruford College of Theatre and Performance,165,155,1.98,87.9,0,0.6,2.7,10,6.6,9.4,1.98,0.6,121.4,England,2016-17,Sidcup,Moderate
643,Royal Academy of Music,60,60,2.69,91.9,0,0,2.3,0,1.6,5.8,2.69,0.4,127.7,England,2016-17,London,Low
644,Royal Agricultural University,260,245,1.46,90.8,5,1.2,2.1,15,5,7.1,1.46,4.6,47.3,England,2016-17,Cirencester,Low
645,Royal College of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
646,Royal College of Music,70,70,2.5,91.3,0,1.4,2.3,0,1.4,6.4,2.5,0.4,121.5,England,2016-17,London,Low
647,The Royal Central School of Speech and Drama,200,180,1.83,89.4,5,2,2.3,15,7.9,8.2,1.83,0.6,129.3,England,2016-17,London,Moderate
648,Royal Holloway and Bedford New College,2015,1865,0.52,92.1,60,2.9,2.6,90,4.4,5.3,0.52,1.8,98.1,England,2016-17,Egham,Low
649,Royal Northern College of Music,110,100,2.06,90.5,5,3.7,2.5,0,1.9,7,2.06,0.5,122.4,England,2016-17,Manchester,Low
650,The Royal Veterinary College,335,325,1.13,95.1,5,1.2,1.6,5,1.8,3.3,1.13,6.2,38.5,England,2016-17,London,Low
651,SAE Education Limited,315,260,1.65,82.6,10,3.5,4,40,13.4,13.4,1.65,3.5,74.4,England,2016-17,London,High
652,"St George's, University of London",715,690,0.8,94,10,1.4,1.8,15,2.1,4.2,0.8,2.2,75.9,England,2016-17,London,Low
653,"St Mary's University, Twickenham",1245,1080,0.78,86.9,50,3.9,3.1,115,9.3,9.9,0.78,1.2,98.9,England,2016-17,Twickenham,Moderate
654,The University of Salford,4450,3895,0.42,87.3,115,2.6,3.2,435,9.8,9.5,0.42,2.3,100.3,England,2016-17,Salford,High
655,The Salvation Army,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
656,London School of Science and Technology Limited,110,65,3.9,77.1,5,2.7,4.1,40,38.2,18.9,3.9,1.4,123.3,England,2016-17,London,Very High
657,SOAS University of London,745,635,1.01,91.5,30,4,2.4,80,10.6,6.1,1.01,1.6,88.7,England,2016-17,London,High
658,Sheffield Hallam University,6640,6090,0.32,88.3,75,1.2,3.1,475,7.1,8.6,0.32,2.8,99.9,England,2016-17,Sheffield,Moderate
659,The University of Sheffield,4765,4490,0.32,93.5,115,2.4,2.2,160,3.4,4.2,0.32,4.2,78.8,England,2016-17,Sheffield,Low
660,The Sherwood Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Sheffield,Low
661,Slough Borough Council,30,25,4.93,89.2,0,0,1.3,0,7.1,9.5,4.93,0.6,133,England,2016-17,Slough,Moderate
662,Solent University,2330,2035,0.57,85.2,65,2.8,3.6,225,9.7,11.1,0.57,2,107,England,2016-17,Southampton,Moderate
663,The University of Southampton,4185,3920,0.36,93.2,80,1.9,2.2,185,4.4,4.5,0.36,3,86,England,2016-17,Southampton,Low
664,Spurgeon's College,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
665,Staffordshire University,2725,2310,0.56,85.3,75,2.8,3.4,340,12.5,11.3,0.56,1.8,100.5,England,2016-17,Stoke-on-Trent,High
666,University of St Mark and St John,705,600,1.1,86.9,15,2.1,2.6,85,12.4,10.5,1.1,1.1,106.2,England,2016-17,Plymouth,High
667,University of Suffolk,1195,1010,0.87,86.8,20,1.6,2.6,165,13.9,10.6,0.87,1.4,102.4,England,2016-17,Ipswich,High
668,The University of Sunderland,2880,2400,0.56,83.8,80,2.8,3.4,400,13.9,12.8,0.56,3.9,109.4,England,2016-17,Sunderland,High
669,The University of Surrey,2810,2635,0.44,91.4,50,1.8,2.6,125,4.4,6,0.44,2,91.4,England,2016-17,Guildford,Low
670,The University of Sussex,3170,2945,0.42,91.8,85,2.7,2.7,135,4.3,5.6,0.42,2,95.1,England,2016-17,Brighton,Low
671,Teesside University,3440,3010,0.48,85.8,55,1.6,3.4,375,10.9,10.8,0.48,2.5,96.2,England,2016-17,Middlesbrough,High
672,Tottenham Hotspur Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
673,Trinity Laban Conservatoire of Music and Dance,185,170,1.67,90.1,10,4.3,2.3,5,3.2,7.6,1.67,0.8,122.5,England,2016-17,London,Low
674,The University of Law,395,340,1.27,88.2,25,6.8,3.4,30,7.1,8.4,1.27,3.1,79.4,England,2016-17,London,Moderate
675,University College London,2850,2675,0.43,94.9,60,2.2,1.8,115,4.1,3.3,0.43,4.6,62.4,England,2016-17,London,Low
676,Waltham International College Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
677,The University of Warwick,3395,3165,0.4,94.7,65,2,1.9,160,4.7,3.3,0.4,5.6,68.9,England,2016-17,Coventry,Low
678,Waverley Abbey College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Farnham,Low
679,"University of the West of England, Bristol",5395,4860,0.35,88.6,170,3.1,3.1,370,6.8,8.3,0.35,2.5,95.7,England,2016-17,Bristol,Moderate
680,West Dean College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Chichester,Low
681,The University of West London,2430,2050,0.59,84.7,90,3.7,3.1,290,11.9,12.2,0.59,1.9,102.8,England,2016-17,London,High
682,The University of Westminster,3080,2665,0.48,86.7,145,4.6,3.4,270,8.8,9.9,0.48,2,101.4,England,2016-17,London,Moderate
683,The University of Winchester,1940,1770,0.58,89,35,1.8,2.9,135,7,8.1,0.58,1.7,98.2,England,2016-17,Winchester,Moderate
684,West London College of Business and Management Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
685,The University of Wolverhampton,4745,3930,0.43,84.6,140,3,3.4,675,14.2,12.1,0.43,3.8,97.6,England,2016-17,Wolverhampton,High
686,University of Worcester,2485,2190,0.55,88.2,55,2.1,2.8,240,9.6,9.1,0.55,2,98.5,England,2016-17,Worcester,Moderate
687,Writtle University College,175,155,1.94,88.7,5,1.7,1.6,15,9.1,9.7,1.94,7.3,38.1,England,2016-17,Chelmsford ,Moderate
688,York St John University,1835,1675,0.61,89.1,20,1.2,3,135,7.5,7.9,0.61,1.4,99.6,England,2016-17,York,Moderate
689,The University of York,3805,3530,0.38,93.2,100,2.6,2.3,175,4.6,4.5,0.38,3,85.7,England,2016-17,York,Low
690,AA School of Architecture,30,25,4.44,92.2,0,6.5,1.3,0,6.5,6.5,4.44,6.3,40.2,England,2017-18,London,Moderate
691,Access to Music Limited,20,20,0,0,0,0,0,5,0,0,0,0,0,England,2017-18,London,Low
692,ACM Guildford Limited,440,365,1.45,85.7,15,3.6,2.9,60,13.4,11.3,1.45,2.1,118.4,England,2017-18,Guildford,High
693,Academy of Live and Recorded Arts,65,65,2.96,86.3,0,0,2.3,5,4.5,11.4,2.96,2,103.3,England,2017-18,London,Low
694,AECC University College,185,170,1.85,89.8,5,2.7,2.5,10,5.5,7.7,1.85,0.8,89.7,England,2017-18,Birmingham,Moderate
695,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
696,Anglia Ruskin University,5325,4475,0.39,83.6,170,3.2,3.6,680,12.8,12.9,0.39,9.3,90.7,England,2017-18,Cambridge ,High
697,Apex College London,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
698,Arden University,1395,970,0.96,76.3,60,4.4,4.2,365,26.1,19.4,0.96,6,96.4,England,2017-18,Coventry,High
699,Arts Educational Schools,70,70,2.36,88,0,1.4,2.9,0,0,9.1,2.36,0.6,119.7,England,2017-18,London,Low
700,Aston University,2890,2655,0.45,89.8,100,3.5,3.3,130,4.6,6.9,0.45,2.5,99.7,England,2017-18,Birmingham,Low
701,Bath Spa University,2070,1855,0.59,89.1,50,2.4,2.8,170,8.2,8.2,0.59,1.6,106,England,2017-18,Bath,Moderate
702,The University of Bath,2665,2565,0.42,94.3,35,1.4,2.1,65,2.5,3.6,0.42,6.4,71.6,England,2017-18,Bath,Low
703,University of Bedfordshire,3345,2205,0.61,80.6,260,7.8,3.7,875,26.2,15.6,0.61,5.4,92.9,England,2017-18,Bedford  ,High
704,BIMM Limited,1680,1340,0.76,84.4,50,3,3.1,290,17.1,12.5,0.76,10.4,112.5,England,2017-18,Bristol ,High
705,Birkbeck College,1010,860,0.89,82.6,35,3.7,3.4,110,11,14,0.89,3.8,81.1,England,2017-18,London,High
706,Birmingham City University,5990,5290,0.35,86.6,195,3.2,3.4,505,8.5,10,0.35,2.8,103.1,England,2017-18,Birmingham,Moderate
707,The University of Birmingham,5630,5355,0.3,94.1,110,1.9,2.2,165,3,3.8,0.3,4.5,79.1,England,2017-18,Birmingham,Low
708,University College Birmingham,750,670,0.99,84.4,15,1.7,2.9,65,8.6,12.7,0.99,2.2,102,England,2017-18,Birmingham,Moderate
709,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Bristol,Low
710,Bishop Grosseteste University,565,520,1.04,89.6,10,2.1,2,35,6,8.4,1.04,2.9,83.5,England,2017-18,Lincoln,Moderate
711,Bloomsbury Institute,950,570,1.2,74,95,9.9,4.9,285,30.2,21.1,1.2,7.4,87,England,2017-18,London,Very High
712,The University of Bolton,1475,1200,0.8,84.5,60,4.1,3.3,215,14.5,12.2,0.8,1.4,102.5,England,2017-18,Bolton,High
713,The Arts University Bournemouth,1045,985,0.74,89.9,10,1.2,2.5,45,4.5,7.6,0.74,2.8,129.4,England,2017-18,Bournemouth,Low
714,Bournemouth University,3995,3570,0.42,87.6,120,3.1,3.2,305,7.6,9.2,0.42,2.2,103.8,England,2017-18,Bournemouth,Moderate
715,BPP University,170,145,2.03,86.9,5,4.1,2.8,15,8.9,10.2,2.03,3.3,76.7,England,2017-18,London ,Moderate
716,The University of Bradford,2015,1740,0.6,87,105,5.3,3.5,170,8.5,9.4,0.6,1.8,100.3,England,2017-18,Bradford,Moderate
717,The University of Brighton,4645,3980,0.41,87.9,180,3.8,3.1,485,10.5,9,0.41,2.7,93.7,England,2017-18,Brighton,High
718,The University College of Osteopathy,45,40,3.59,89.3,0,2.2,2.3,0,4.4,8.4,3.59,0.2,94.8,England,2017-18,London,Low
719,The University of Bristol,4530,4315,0.33,94.9,80,1.7,1.9,140,3,3.2,0.33,4.6,72,England,2017-18,Bristol,Low
720,Brit College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
721,Trinity College Bristol,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Bristol,Low
722,Brunel University London,3065,2670,0.47,89,170,5.5,3.3,225,7.4,7.7,0.47,2.3,97.8,England,2017-18,Uxbridge,Moderate
723,Buckinghamshire New University,2570,2000,0.63,82.9,120,4.7,3.6,450,17.5,13.6,0.63,2.9,106.5,England,2017-18,High Wycombe,High
724,The University of Buckingham,330,290,1.46,88.8,5,2.1,2.8,30,9.4,8.3,1.46,0.9,78,England,2017-18,Buckingham,Moderate
725,UK College of Business and Computing,165,45,3.49,73.1,35,22.7,5,80,50.3,21.9,3.49,2.8,134,England,2017-18,London,Very High
726,London College of Business Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
727,Cambridge Arts and Sciences Limited,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Cambridge,Low
728,The University of Cambridge,2595,2550,0.39,96.3,10,0.5,1.5,30,1.1,2.2,0.39,10.7,52.4,England,2017-18,Cambridge,Low
729,The Cambridge Theological Federation,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Cambridge,Low
730,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
731,Canterbury Christ Church University,2930,2465,0.54,86.3,95,3.3,3.1,370,12.6,10.6,0.54,2.5,91.5,England,2017-18,Canterbury,High
732,The University of Central Lancashire,4520,3790,0.45,85.5,125,2.8,3.2,605,13.4,11.3,0.45,3,94.7,England,2017-18,Preston,High
733,University of Chester,3260,2850,0.49,88,85,2.6,3,325,9.9,9,0.49,1.8,95.9,England,2017-18,Chester,High
734,The University of Chichester,1255,1175,0.7,87.1,15,1.3,2.9,70,5.4,10.1,0.7,1.1,110.5,England,2017-18,Chichester,Moderate
735,Chicken Shed Theatre Company,25,25,3.91,85.8,0,0,2.1,0,0,12.1,3.91,0.3,128.5,England,2017-18,London,Low
736,The College of Integrated Chinese Medicine,50,45,3.87,89.8,0,0,1.5,5,8.2,8.7,3.87,0.7,92.3,England,2017-18,London,Moderate
737,Christie's Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
738,Christ the Redeemer College,20,20,0,0,0,0,0,5,0,0,0,0,0,England,2017-18,London,Low
739,The City College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
740,"City, University of London",2255,1870,0.58,89.7,175,7.7,3.1,210,9.3,7.2,0.58,1.9,94.3,England,2017-18,London,Moderate
741,Cliff College,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Sheffield,Low
742,Conservatoire for Dance and Drama,235,230,1.45,89.4,0,0.4,2.1,5,2.5,8.6,1.45,2.1,122.8,England,2017-18,London,Low
743,Courtauld Institute of Art,50,50,2.81,94.9,0,4,2,0,0,3.1,2.81,0.7,67.9,England,2017-18,London,Low
744,Court Theatre Training Company Ltd,20,15,0,0,0,0,0,5,0,0,0,0,0,England,2017-18,London,Low
745,Coventry University,5735,5010,0.36,87.2,215,3.7,3.4,515,9,9.4,0.36,2.9,98.5,England,2017-18,Coventry,Moderate
746,Cranfield University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Cranfield,Low
747,University for the Creative Arts,1295,1140,0.76,88.8,40,3,2.5,115,8.8,8.7,0.76,2.6,123.4,England,2017-18,Canterbury,Moderate
748,University of Cumbria,1500,1295,0.75,86.6,30,2.1,2.8,175,11.5,10.6,0.75,1.6,96.8,England,2017-18,Carlisle,High
749,De Montfort University,5675,4920,0.37,86.8,220,3.9,3.5,535,9.4,9.7,0.37,2.7,100.9,England,2017-18,Leicester,Moderate
750,University of Derby,3770,3200,0.46,85.4,90,2.4,3.2,480,12.7,11.4,0.46,6.5,93.8,England,2017-18,Derby,High
751,University of Durham,3470,3335,0.37,95,40,1.1,1.9,95,2.8,3.1,0.37,6.1,69.1,England,2017-18,Durham,Low
752,The University of East Anglia,3270,2950,0.45,90.8,85,2.6,2.6,235,7.2,6.6,0.45,2.2,91.4,England,2017-18,Norwich,Moderate
753,The University of East London,3470,2830,0.52,84.5,125,3.6,3.2,510,14.8,12.3,0.52,2.8,94.9,England,2017-18,London,High
754,The Queen's Foundation for Ecumenical Theological Education,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Birmingham,Low
755,Edge Hill University,3300,2955,0.48,87.5,50,1.5,3,295,8.9,9.5,0.48,1.9,101.8,England,2017-18,Ormskirk,Moderate
756,Empire College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
757,The University of Essex,2790,2415,0.53,88.2,105,3.7,3.3,270,9.7,8.5,0.53,2.1,99.1,England,2017-18,Colchester,Moderate
758,University College of Estate Management,25,20,6.01,83.8,0,4.3,2.3,5,13,13.9,6.01,1.3,62.5,England,2017-18,Reading,High
759,The University of Exeter,4480,4250,0.33,93.7,90,2,2.2,140,3.1,4.1,0.33,4.4,79.7,England,2017-18,Exeter,Low
760,Falmouth University,1935,1685,0.63,88.2,65,3.4,2.8,185,9.6,9,0.63,3.3,113.6,England,2017-18,Falmouth,Moderate
761,Fairfield School of Business Ltd,75,25,5.42,73.1,5,9.5,5,45,58.1,21.9,5.42,1.3,134,England,2017-18,London,Very High
762,Met Film School Limited,40,35,4.05,88.3,0,0,2.4,5,10.3,9.3,4.05,0.3,118.6,England,2017-18,London,High
763,The National Film and Television School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Beaconsfield,Low
764,ForMission Ltd,50,35,4.72,77.5,0,2,1.5,15,28.6,21,4.72,15.3,50,England,2017-18,London,High
765,Futureworks,175,150,2.1,86.1,10,5.1,2.6,15,9.7,11.3,2.1,0.7,122,England,2017-18,London,Moderate
766,University of Gloucestershire,2365,2080,0.58,87.2,45,1.9,2.9,240,10.1,9.9,0.58,1.3,103.6,England,2017-18,Cheltenham,High
767,Goldsmiths College,2040,1655,0.65,87.8,130,6.3,3,260,12.7,9.1,0.65,1.9,97,England,2017-18,London,High
768,The University of Greenwich,3565,3065,0.47,86.5,145,4.1,3,350,9.8,10.4,0.47,1.9,98.9,England,2017-18,London,High
769,GSM London,1885,1225,0.78,72.9,105,5.5,4.8,555,29.6,22.3,0.78,18.7,80.3,England,2017-18,London,High
770,Guildhall School of Music and Drama,160,150,1.79,91.1,5,1.9,2.3,5,3.1,6.5,1.79,0.7,125.4,England,2017-18,London,Low
771,Harper Adams University,520,485,1,91,5,1.2,1.6,25,5.2,7.4,1,16.1,36.9,England,2017-18,Edgbaston,Moderate
772,Hartpury University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Cirencester,Low
773,University of Hertfordshire,4805,4175,0.39,86.8,210,4.4,3.5,420,8.8,9.7,0.39,2.8,97.7,England,2017-18,Hatfield,Moderate
774,The University of Huddersfield,3505,3065,0.46,87.1,130,3.7,3.3,310,8.9,9.6,0.46,1.4,103.7,England,2017-18,Huddersfield,Moderate
775,The University of Hull,3455,3055,0.47,87.6,65,1.9,3.1,335,9.7,9.3,0.47,1.7,94.3,England,2017-18,Hull,Moderate
776,ICON College of Technology and Management,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
777,"Imperial College of Science, Technology and Medicine",1350,1260,0.63,96.4,25,1.8,1.3,65,4.7,2.3,0.63,9.8,45,England,2017-18,London,Low
778,London College of International Business Studies Ltd,5,0,0,0,0,0,0,5,0,0,0,0,0,England,2017-18,London,Low
779,Institute of Contemporary Music Performance,225,195,1.98,87.4,5,1.3,2.2,30,12.3,10.5,1.98,1.1,118.3,England,2017-18,London,High
780,The Islamic College,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
781,Kaplan Open Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
782,Keele University,2305,2085,0.54,89.8,65,2.7,3,160,6.9,7.1,0.54,1.5,91.2,England,2017-18,Keele,Moderate
783,Kensington College of Business?,100,45,4.47,75.2,5,4.1,4.6,50,49,20.1,4.47,1,122,England,2017-18,London,Very High
784,The University of Kent,4210,3895,0.37,89.9,130,3.1,3,180,4.3,7.1,0.37,2.6,99.3,England,2017-18,Canterbury,Low
785,King's College London,3445,3165,0.41,93.3,100,2.9,2.1,180,5.3,4.7,0.41,3.7,74,England,2017-18,London,Moderate
786,KLC School of Design,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
787,Kingston University,3415,2995,0.47,85.9,105,3.1,3.5,315,9.2,10.6,0.47,2.3,95.9,England,2017-18,Kingston,Moderate
788,Kogan Academy of Dramatic Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
789,The University of Lancaster,2560,2415,0.46,92.5,50,2,2.6,95,3.8,5,0.46,2,86.9,England,2017-18,Lancaster,Low
790,LCCM AU UK Limited,115,100,2.3,86,5,5.2,2.2,5,6.1,11.8,2.3,1.1,106.5,England,2017-18,Birmingham,Moderate
791,Leeds Arts University,550,525,0.97,90.9,5,1.3,2.3,15,3.1,6.8,0.97,2.1,130.7,England,2017-18,Leeds,Low
792,Leeds Beckett University,5285,4485,0.4,86.9,175,3.3,3.4,630,11.9,9.7,0.4,2.6,101,England,2017-18,Leeds,High
793,Leeds College of Music,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Leeds,Low
794,The University of Leeds,6675,6195,0.28,93.3,220,3.3,2.3,255,3.9,4.4,0.28,4.8,81.9,England,2017-18,Leeds,Low
795,Leeds Trinity University,860,765,0.93,86.9,15,1.7,2.9,80,9.4,10.3,0.93,1.3,90.3,England,2017-18,Leeds,Moderate
