,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
516,University of Cumbria,1610,1425,0.69,87.8,30,1.8,2.8,155,9.8,9.4,0.69,1.4,96.2,England,2016-17,Carlisle,High
517,De Montfort University,5785,5090,0.35,87.3,210,3.7,3.5,480,8.3,9.2,0.35,2.9,101.4,England,2016-17,Leicester,Moderate
518,University of Derby,3880,3345,0.43,85.5,115,2.9,3.5,425,10.9,11,0.43,5.7,93.2,England,2016-17,Derby,High
519,University of Durham,3505,3305,0.36,94.9,110,3.1,1.9,90,2.5,3.2,0.36,6.3,65.7,England,2016-17,Durham,Low
520,The University of East Anglia,3385,3090,0.43,91.7,80,2.4,2.5,215,6.3,5.8,0.43,2.1,92.2,England,2016-17,Norwich,Moderate
521,The University of East London,3115,2595,0.53,84.9,125,3.9,3.3,400,12.8,11.7,0.53,2.3,96.6,England,2016-17,London,High
522,The Queen's Foundation for Ecumenical Theological Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Birmingham,Low
523,Edge Hill University,3705,3385,0.43,87.9,50,1.3,3,270,7.3,9.1,0.43,2.1,101.1,England,2016-17,Ormskirk,Moderate
524,Empire College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
525,The University of Essex,2640,2320,0.53,88.8,90,3.3,3.3,235,8.9,7.9,0.53,1.8,102,England,2016-17,Colchester,Moderate
526,East End Computing and Business College Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
527,University College of Estate Management,45,35,4.49,83.4,0,4.3,2.1,10,17,14.5,4.49,2.6,57.6,England,2016-17,Reading,High
528,The University of Exeter,4460,4260,0.32,93.9,85,1.9,2.2,115,2.6,4,0.32,4.9,77.9,England,2016-17,Exeter,Low
529,Falmouth University,1835,1630,0.62,88.7,55,3,2.8,150,8.1,8.5,0.62,2.9,115.3,England,2016-17,Falmouth,Moderate
530,Fairfield School of Business Ltd,15,10,0,0,0,0,0,5,0,0,0,0,0,England,2016-17,London,Low
531,Met Film School Limited,40,30,4.99,88.9,0,0,2.4,10,20,8.7,4.99,0.4,114.2,England,2016-17,London,High
532,The National Film and Television School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Beaconsfield,Low
533,ForMission Ltd,60,40,4.35,80.7,0,3.4,2.3,15,25.9,17.1,4.35,12.3,52.5,England,2016-17,London,High
534,Futureworks,190,165,2.05,85.7,5,2.7,2.6,20,10.1,11.7,2.05,0.9,128.7,England,2016-17,London,High
535,University of Gloucestershire,2330,2070,0.57,87.4,45,2,3,215,9.2,9.6,0.57,1.3,104.9,England,2016-17,Cheltenham,Moderate
536,Goldsmiths College,1960,1570,0.65,88,145,7.5,3,245,12.4,9,0.65,2.1,94.5,England,2016-17,London,High
537,The University of Greenwich,4055,3465,0.44,86.7,165,4.1,3.1,420,10.4,10.2,0.44,2.2,97.9,England,2016-17,London,High
538,GSM London,2845,1640,0.63,71,165,5.8,5,1040,36.5,24,0.63,27,80.4,England,2016-17,London,Very High
539,Guildhall School of Music and Drama,145,135,2.02,91.1,0,0.7,2.3,10,5.6,6.6,2.02,0.6,128.4,England,2016-17,London,Moderate
540,Harper Adams University,510,475,1.02,91.1,5,1.4,2,30,5.5,6.9,1.02,14.5,38.5,England,2016-17,Edgbaston,Moderate
541,University of Hertfordshire,4885,4305,0.37,87.5,210,4.3,3.3,370,7.6,9.2,0.37,3,98.1,England,2016-17,Hatfield,Moderate
542,Heythrop College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
543,The University of Huddersfield,3455,3045,0.47,87,90,2.6,3.4,320,9.2,9.6,0.47,1.5,103.8,England,2016-17,Huddersfield,Moderate
544,The University of Hull,3900,3455,0.43,88.2,105,2.7,3.1,340,8.7,8.7,0.43,2.1,93.9,England,2016-17,Hull,Moderate
545,ICON College of Technology and Management,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
546,"Imperial College of Science, Technology and Medicine",1385,1320,0.58,96.9,25,1.9,1.2,40,3,1.9,0.58,9.2,44.2,England,2016-17,London,Low
547,London College of International Business Studies Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
548,Institute of Contemporary Music Performance,190,160,2.19,87.5,5,2.6,2.2,25,13.6,10.4,2.19,0.7,124.8,England,2016-17,London,High
549,The Islamic College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
550,Kaplan Open Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
551,Keele University,2400,2205,0.49,90.4,75,3.2,3,120,4.9,6.6,0.49,1.6,91.5,England,2016-17,Keele,Low
552,Kensington College of Business??,115,80,3.39,75.7,5,4.4,4.5,30,25.7,19.7,3.39,1.5,107.2,England,2016-17,London,High
553,The University of Kent,3945,3640,0.38,90.1,110,2.8,2.9,195,4.9,7,0.38,2.3,100.9,England,2016-17,Canterbury,Low
554,King's College London,3660,3415,0.38,93.7,90,2.5,2,155,4.2,4.3,0.38,4.4,74.1,England,2016-17,London,Low
555,KLC School of Design,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
556,Kingston University,3715,3275,0.43,86.8,155,4.1,3.5,285,7.7,9.7,0.43,2.6,96,England,2016-17,Kingston  ,Moderate
557,Kogan Academy of Dramatic Arts,10,5,0,0,0,0,0,5,0,0,0,0,0,England,2016-17,London,Low
558,The University of Lancaster,2405,2255,0.48,92.5,40,1.7,2.5,105,4.4,5,0.48,2,88.1,England,2016-17,Lancaster,Low
559,LCCM AU UK Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Birmingham,Low
560,Leeds Arts University,475,445,1.11,91.2,5,1.5,2.4,25,4.8,6.4,1.11,2,133.7,England,2016-17,Leeds,Low
561,Leeds Beckett University,5520,4660,0.39,87,185,3.4,3.5,670,12.2,9.4,0.39,2.9,102.7,England,2016-17,Leeds,High
562,The University of Leeds,6245,5760,0.3,93.4,210,3.3,2.3,275,4.4,4.3,0.3,4.7,82.9,England,2016-17,Leeds,Low
563,Leeds Trinity University,1045,900,0.88,87.3,30,2.8,3.3,115,11.1,9.4,0.88,1.8,88.5,England,2016-17,Leeds,High
564,The University of Leicester,3500,3155,0.42,92,135,3.8,2.6,215,6.1,5.4,0.42,2.6,92.8,England,2016-17,Leicester,Moderate
565,The University of Lincoln,3560,3300,0.41,89.4,65,1.9,2.9,190,5.4,7.7,0.41,1.9,102.8,England,2016-17,Lincoln,Moderate
566,Liverpool Hope University,1280,1125,0.79,88.3,15,1.1,3,140,11,8.8,0.79,1.2,99.3,England,2016-17,Liverpool,High
567,Liverpool John Moores University,5440,4795,0.37,87.8,155,2.8,3.2,490,9,8.9,0.37,2.8,99.3,England,2016-17,Liverpool,Moderate
568,The Liverpool Institute for Performing Arts,210,195,1.59,87.5,5,2.9,2.9,5,3.4,9.6,1.59,0.5,128.4,England,2016-17,Liverpool,Low
569,The University of Liverpool,5325,5000,0.32,92.4,110,2.1,2.5,210,4,5.1,0.32,4,84.5,England,2016-17,Liverpool,Low
570,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Liverpool,Low
571,"University of the Arts, London",2615,2370,0.49,89.2,65,2.6,2.5,180,6.8,8.3,0.49,9.2,107,England,2016-17,London,Moderate
572,London School of Business and Finance (UK) Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
573,London Bridge Business Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
574,London Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
575,London Churchill College Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
576,University of London (Institutes and activities),0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
577,City and Guilds of London Art School,25,20,5.1,89.3,0,7.7,1.9,0,7.7,8.8,5.1,0.7,115.9,England,2016-17,London,Moderate
578,London School of Commerce & IT Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
579,The London College UCK,180,150,2.22,80.1,10,4.4,3.4,20,12.2,16.5,2.22,1.8,119.2,England,2016-17,London,High
580,London Metropolitan University,3005,2120,0.61,82.8,270,9,3.3,615,20.4,13.9,0.61,4.8,99.7,England,2016-17,London,High
581,London School of Academics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
582,London South Bank University,2970,2510,0.53,85.9,130,4.3,3.2,335,11.2,10.9,0.53,2.1,97.9,England,2016-17,London,High
583,London School of Economics and Political Science,725,700,0.8,95.8,10,1.1,1.8,20,2.6,2.4,0.8,4.7,63,England,2016-17,London,Low
